unit	serial	lineage	resources	bytes	sha256
live/services/debfs-lxc	4	669a0d71-cb3d-03b4-7ead-c7b8ddc7954c	3	7669	0530a6af3e220794daa365e62887763821d321546dc47ec7fa9c9d6133f9ea00
live/services/debfs-vm	9	b27b049a-affc-60ac-53e6-c1660fae3186	4	10177	bad427815267dbed8573e16dc59977474679710a10e4a97dcaf714ac34c579f0
live/services/kanidm	133	2dbee5dc-6f15-d83b-c877-314a0ad6ad5e	9	17022	d8b6ab193aee9a2aaf25d20b6ec69f7876d68b5ddf986b38719df1ceed1f7663
live/services/minio-lxc	21	7cdb998a-842d-dfcc-1cf4-e81ba646fdf3	8	11674	86d36fb78ad0e89ad8a50b686d5d2ece5dfd8fb16b8b42860e3275a46f8601e7
live/services/nixbuild-vm	4	dcbe2aea-b9e4-75f6-9fee-7fbefb86b578	3	8347	63ffbf89e36a1d862f7c2a5257def32f03c29d420b41322828ccc5ca039001b2
live/services/nixfs-lxc	2	614f3a72-638a-e8e0-11ea-52397fee4451	2	6936	e18dbd19fc2122829f12c510bb2cfdf2a16e10a0897baf480873e523e07358b3
live/services/nixfs-vm	2	477fce7b-0808-5235-ce8a-ad650ea2c0ff	3	8345	88a04e224e38ff16c6ac8c70cb1bd2b2a8a7868f932014cdebd86f1a4add7ffd
live/services/nixtest-lxc	2	dd6c4e93-fea9-c92d-69fe-60fe218a267d	2	6668	56a31001a4ca1d35dfe29cb2722dcfe6aa2a99917e3baebd100d8ca3e0f758f9
live/services/openbao	16	bdb0168b-27bb-e486-4da6-a6eb54a08e75	7	17414	9140781f264e314267ee687333233fb33cd004f6e48da02fbdf3e379cc7e71fc
live/services/smallstep-lxc	13	28a348d7-f2df-0621-aea3-673cd95096a0	9	12062	0a527e60a97c7ceca32347dd9282da2ea2016c36d24e8970a66b46545461ea95
live/services/tailscale-config	1	63e65582-a82c-bcf9-09b0-576e36a44d3d	0	152	dce73820a4b387a8f7a624ef8aa1ba142316feffc712ee48f3c7fb9e6772c185
live/services/tailscale-lxc	30	207b3c79-fee6-5633-2a8b-7f05621e6088	6	15107	564d3e5dd881c0c8d39b259bbdca231d6a6810756b1671cbc21882e084c48cf5
live/services/zot-lxc	30	d2d5a700-702c-447b-e5d2-832434527da5	7	9809	de77818526574942db047f082a60b0e5b5d55234b4cb458a4b682da95ff02705
